heure,host,nb_requetes
1995-07-13 02:00:00-04:00,rush.internic.net,340
1995-07-13 03:00:00-04:00,rush.internic.net,336
1995-07-13 01:00:00-04:00,rush.internic.net,336
1995-07-13 09:00:00-04:00,vagrant.vf.mmc.com,276
1995-07-20 11:00:00-04:00,kss2nn.nn.mobitel.telia.se,265
1995-07-06 20:00:00-04:00,spidey.cor.epa.gov,250
1995-07-21 11:00:00-04:00,siltb10.orl.mmc.com,240
1995-07-21 09:00:00-04:00,vagrant.vf.mmc.com,240
1995-07-27 20:00:00-04:00,mega218.megamed.com,235
1995-07-13 07:00:00-04:00,theopolis.orl.mmc.com,229
